,prev,curr,type,n
0,other-empty,Main_Page,external,120677075
1,Chitrakoot_division,Bundelkhand,link,12
2,Chloe_Brennan,Huntington's_disease,link,12
3,other-search,Zachary_Quinto,external,110695
4,other-search,Inception,external,57594
5,other-search,Chief_Justice_of_Pakistan,external,42128
6,other-search,Typhoon_Yagi,external,26321
7,other-empty,John_Simm,external,24944
8,other-search,Black_Sox_Scandal,external,24779
9,"Concordia,_Missouri",Kathryn_Kuhlman,link,12
10,Concrete_Utopia,Viki_(streaming_service),link,12
11,Constantine_III_(Western_Roman_emperor),Patronage_in_ancient_Rome,link,12
12,Continental_Europe,Globus_cruciger,link,12
13,other-search,2015_World_Series,external,21743
14,other-search,Rudy_Gobert,external,19021
15,other-search,Net_promoter_score,external,16462
16,Cyprus_national_football_team,Volos_F.C.,link,12
17,Damon_Galgut,J._M._Coetzee,link,12
18,Dance_party,Assyrian_folk_dance,link,12
19,Dandy–Walker_malformation,Cerebellar_hypoplasia,other,12
20,other-empty,Planet_of_the_Apes,external,13851
21,Dave_LaRue,Suspended_Animation_(John_Petrucci_album),link,12
22,other-empty,Gorillaz,external,13123
23,"David_Lindsay,_28th_Earl_of_Crawford",Balcarres_House,link,12
24,other-empty,Louis_XVI,external,12882
25,Death_of_Roger_Sylvester,Death_of_Christopher_Alder,link,12
26,Declan_Kelly_(businessman),Doug_Band,link,12
27,Vivian_Dsena,Khatron_Ke_Khiladi_7,link,11407
28,Denver_Auditorium_Arena,International_Volleyball_Association,link,12
29,Diazonium_compound,Gattermann_reaction,link,12
30,other-empty,Claddagh_ring,external,10486
31,Digital_cinematography,Image_noise,link,12
32,Digital_television,Television_set,link,12
33,Diosmin,Dietary_supplement,link,12
34,other-search,Glynis_Barber,external,10188
35,Dish_Network,Hulu,link,12
36,other-empty,Goliath_(TV_series),external,9959
37,Division_of_Gippsland,Electoral_results_for_the_Division_of_Gippsland,link,12
38,Divyansha_Kaushik,Naga_Chaitanya,link,12
39,other-empty,Mia_Malkova,external,9709
40,other-empty,Lavrentiy_Beria,external,9669
41,other-search,Carter_Reum,external,9643
42,Dominicana_de_Aviación,Las_Américas_International_Airport,link,12
43,Don't_Tell_Her_It's_Me,Malcolm_Mowbray,link,12
44,Don't_be_evil,2016_United_States_presidential_election,link,12
45,Donald_Churchill,The_Hound_of_the_Baskervilles_(1983_film),link,12
46,other-search,Chicken_soup,external,9430
47,other-search,Matty_James,external,9262
48,other-search,Choux_pastry,external,9073
49,Dublin_Castle,President_of_Ireland,link,12
50,other-empty,Hans_Christian_Andersen,external,8773
51,Dursley_McLinden,After_Henry_(TV_series),link,12
52,Dust_mite_allergy,Blanket,link,12
53,other-search,Pinot_gris,external,8633
54,Fright_Night,Chris_Sarandon,link,8614
55,Edgewood_station_(MARC),Martin_State_Airport_station,link,12
56,Edison_and_Ford_Winter_Estates,Banyan,link,12
57,other-search,Opium_of_the_people,external,7750
58,other-search,Pride_flag,external,7632
59,Encumbrance,Servitude_in_civil_law,link,12
60,other-search,Light-weight_Linux_distribution,external,7306
61,Engine_Alliance,Gulfstream_G550,other,12
62,Enomoto_Takeaki,Vice_admiral,link,12
63,Ernest_J._King,Douglas_XP3D,link,12
64,Vanessa_Simmons,Damon_Wayans,link,6892
65,Ethics_of_uncertain_sentience,Animal_consciousness,link,12
66,Ettore_Bugatti,Paris,link,12
67,other-search,Paranoid_personality_disorder,external,6812
68,Euskaltel–Euskadi,Jon_Aberasturi,link,12
69,Eva_la_Trailera,Antonio_Gaona_(actor),link,12
70,other-empty,Canasta,external,6712
71,Exponential_growth,Pyramid_scheme,link,12
72,Ghosts_(American_TV_series),Sheila_Carrasco,link,6524
73,FTSE_250_Index,Worldwide_Healthcare_Trust,link,12
74,Trails_(series),The_Legend_of_Heroes:_Trails_in_the_Sky,link,6440
75,Fats_Domino_discography,Goin'_Home:_A_Tribute_to_Fats_Domino,link,12
76,other-search,Royal_Palace_of_Caserta,external,6116
77,Fiesta_(1947_film),On_an_Island_with_You,link,12
78,"Ernest_II,_Duke_of_Saxe-Coburg_and_Gotha",Princess_Alexandrine_of_Baden,link,5957
79,First_All-Union_Congress_of_Soviets,Avel_Yenukidze,link,12
80,other-search,"Lancaster,_Lancashire",external,5930
81,Fjord,Bohuslän,link,12
82,Flight_controller,Retrorocket,link,12
83,Flight_engineer,Helicopter,link,12
84,Big_Four_accounting_firms,KPMG,link,5782
85,other-search,Anal_masturbation,external,5737
86,other-empty,Types_of_prostitution_in_modern_Japan,external,5685
87,other-search,Twickenham_Stadium,external,5637
88,Formal_science,Abstraction_(computer_science),link,12
89,other-search,2012–13_Real_Madrid_CF_season,external,5586
90,Frame_saw,Ripsaw,link,12
91,other-search,Dansby_Swanson,external,5341
92,other-empty,Charlotte_Gainsbourg,external,5310
93,Luis_Suárez,Club_Nacional_de_Football,link,5282
94,other-search,"Vitor_Reis_(footballer,_born_January_2006)",external,5218
95,other-search,Kandi_bracelet,external,5188
96,other-empty,Herman_Melville,external,5146
97,Gamini_Lokuge,Gamini_Dissanayake,link,12
98,other-search,Lance_corporal,external,5066
99,Gary_Rosenblatt,Dov_Rosenblatt,link,12
100,Genosha,"All-New,_All-Different_Marvel",link,12
101,other-search,Alex_Neustaedter,external,4915
102,Men_Without_Hats,Ivan_Doroschuk,link,4880
103,Georgia_(U.S._state),England,other,12
104,German_conjugation,Preterite,link,12
105,German_nationalism,Deutschtum,link,12
106,Germany_national_youth_football_team,Germany_national_football_team,link,12
107,other-search,Aeon_(company),external,4759
108,Gidazepam,Nooglutyl,other,12
109,Gillian_Zinser,Matt_Lanter,link,12
110,Ariana_Grande,Victorious,link,4715
111,Glossary_of_baseball_terms,Run_(baseball),link,12
112,other-search,Daihatsu_Charade,external,4601
113,other-empty,Dominatrix,external,4597
114,Golgotha_(video_game),Crack_dot_Com,link,12
115,other-search,Battle_of_Aachen,external,4582
116,"Gopalganj_district,_India",Kuchaikote_(community_development_block),link,12
117,other-empty,Jonathan_Haidt,external,4519
118,Grand_Prix_(Cannes_Film_Festival),I_Even_Met_Happy_Gypsies,link,12
119,other-search,Amateur_radio_frequency_allocations,external,4468
120,Gray_Haddock,Transformers:_War_for_Cybertron_Trilogy,link,12
121,Great_Wall_(disambiguation),CfA2_Great_Wall,link,12
122,other-search,Third-degree_atrioventricular_block,external,4309
123,Guiguzi,Niccolò_Machiavelli,link,12
124,HMS_Investigator_(1848),Aulavik_National_Park,link,12
125,"Hamilton,_Bermuda",Dwayne_Leverock,link,12
126,"Hampton,_Herne_Bay",Hampton-on-Sea,link,12
127,Hanchongnyon,Juche_faction,link,12
128,other-search,Resource-based_view,external,4121
129,Hatha_Yoga_Pradipika,Pranayama,link,12
130,Main_Page,Piano_Sonata_(Barber),other,4013
131,Heavy_metal_music,Varg_Vikernes,link,12
132,Hecate,Sophocles,link,12
133,other-search,John_Masefield,external,3967
134,Stevie_Nicks,Christine_McVie,link,3896
135,Halloween_III:_Season_of_the_Witch,Dan_O'Herlihy,link,3828
136,Hispanic_and_Latino_Americans,Franklin_Chang-Díaz,link,12
137,History_of_India,Jhusi,link,12
138,other-search,Angioma,external,3778
139,History_of_lesbianism,Colette,link,12
140,Bird,Dinosaur,link,3745
141,Hits_Radio_Pride,Hits_Radio_Manchester,link,12
142,Hollywood_Rose,Poison_(band),link,12
143,other-search,Artemisia_annua,external,3699
144,Hotline_(1982_film),Steve_Forrest_(actor),link,12
145,other-search,List_of_Black_Sails_characters,external,3612
146,Howdy_Wilcox,"Altoona,_Pennsylvania",link,12
147,Ender's_Game,Ender's_Game_(novel_series),link,3565
148,other-empty,Lake_District,external,3560
149,other-search,Public_holidays_in_Ukraine,external,3559
150,Billy_Bob_Thornton,Sling_Blade,link,3552
151,Hypoestes,Hypoestes_forskaolii,link,12
152,Hyundai_Tiburon,Shark,link,12
153,IQue_Player,Super_Smash_Bros._(video_game),link,12
154,I_Won't_Care_How_You_Remember_Me,Hopeless_Records,link,12
155,Bob_Geldof,Paula_Yates,link,3469
156,other-search,J._P._Dutta,external,3458
157,Blitz_(2024_film),Paul_Weller,link,3438
158,Ilha_Grande,Enyalius_brasiliensis,link,12
159,Imperial_Japanese_Army_Air_Service,Yamashio_Maru-class_escort_carrier,link,12
160,Inspector_Gadget_(1983_TV_series),Maurice_Leblanc,link,12
161,Interstate_55_in_Missouri,Interstate_155_(Missouri–Tennessee),link,12
162,Iron_Eagle_(soundtrack),Gimme_Some_Lovin',link,12
163,Isabelle_(Animal_Crossing),Aya_Kyogoku,link,12
164,other-search,Fairchild_Aircraft,external,3199
165,Sal_Maroni,Eric_Roberts,link,3192
166,Ehud_Barak,Ariel_Sharon,link,3159
167,other-search,Aegean_dispute,external,3159
168,Jacques_Necker,Tax_reform,link,12
169,Cocaine_Bear,Ray_Liotta,link,3137
170,Jadeveon_Clowney,2018_Houston_Texans_season,link,12
171,other-search,Letsile_Tebogo,external,3134
172,other-search,List_of_weapons_used_by_the_Provisional_Irish_Republican_Army,external,3096
173,Jamie_Bell,"Nashville,_Tennessee",link,12
174,Jamie_Shillcock,Warwick_School,link,12
175,Janet_Museveni,Education,link,12
176,Jason_Sudeikis,75th_Primetime_Emmy_Awards,link,12
177,other-search,Super_Bowl_television_ratings,external,2984
178,Zaire_Wade,Dwyane_Wade,link,2976
179,other-search,Spheroid,external,2969
180,Jinx_(Image_Comics),Brian_Michael_Bendis,link,12
181,Joan_Allen,The_Room_Upstairs,link,12
182,Joey_Lina,Roque_Ablan_Jr.,link,12
183,John_Bardeen,Nuclear_magnetic_resonance,link,12
184,other-search,Jack_Cork,external,2925
185,"Johns_Creek,_Georgia",GRTA_Xpress,link,12
186,other-search,Roger_Ibañez,external,2864
187,Jonathan_Club,John_Dustin_Bicknell,link,12
188,Jonathan_Haze,The_Saga_of_the_Viking_Women_and_Their_Voyage_to_the_Waters_of_the_Great_Sea_Serpent,link,12
189,Midnight_Express_(film),Brad_Davis_(actor),link,2846
190,Joseph_Thomson_(explorer),Nyahururu,link,12
191,other-search,The_Case_for_Christ,external,2840
192,Julia_(Eurythmics_song),Suzanna_Hamilton,link,12
193,other-search,Rohit_Chopra,external,2795
194,other-empty,Center_of_mass,external,2785
195,Jvari_Monastery,Sajid_invasion_of_Georgia,link,12
196,KK_Mega_Basket,Ivan_Paunić,link,12
197,other-search,Death_Wish_3,external,2770
198,Cloud_Gate,Anish_Kapoor,link,2752
199,other-empty,Embraer_E-Jet_E2_family,external,2745
200,Kanō_Jigorō,Kidney_stone_disease,link,12
201,Karachi–Peshawar_Line,Lahore_Junction_railway_station,link,12
202,Karl_Logan,Mike_Folmer,other,12
203,Karl_von_Eberstein,Kristallnacht,link,12
204,Karnataka,West_Bengal,link,12
205,"Kawana_Waters,_Queensland","Wurtulla,_Queensland",link,12
206,other-search,Music_box,external,2706
207,Kazhugu_(1981_film),Cho_Ramaswamy,link,12
208,other-search,Grace_&_Favour,external,2691
209,Kennedy_Summers,Playboy,link,12
210,other-empty,Heel_(professional_wrestling),external,2676
211,other-search,Better_Luck_Tomorrow,external,2647
212,other-search,Leccinum_scabrum,external,2647
213,Killing_of_Jared_Bridegan,Child_abuse,link,12
214,Kim_Fowley,Nick_Venet,link,12
215,Kim_Go-eun,Korean_independence_movement,link,12
216,other-search,Earl_Silverman,external,2633
217,King_Bee_(album),Jerry_Portnoy,link,12
218,Kings_Canyon_National_Park,South_Fork_Kings_River,link,12
219,Kondō_Isami,Black_Ships,link,12
220,Kwa_Geok_Choo,Madame_Tussauds,link,12
221,Kyrgyz_Khaganate,Elegest_inscription,link,12
222,Labeobarbus,Rhinofish,link,12
223,Labrador_West,Labrador_City,link,12
224,Lake_Charles_metropolitan_area,"Jennings,_Louisiana",link,12
225,other-search,E.T._(song),external,2514
226,Languages_of_Egypt,Muhammad_Ali_of_Egypt,link,12
227,Larry_Gatlin,Janie_Fricke,link,12
228,Laureen_Harper,List_of_senior_high_schools_in_Alberta,link,12
229,other-empty,Barnyard_(film),external,2469
230,LearAvia_Lear_Fan,Pratt_&_Whitney_Canada_PT6,link,12
231,Leeds,Channel_4,link,12
232,Leepa_Valley,Dao_Khan,link,12
233,Legislative_Assembly_of_the_Province_of_Canada,3rd_Parliament_of_the_Province_of_Canada,link,12
234,"Lemon,_lime_and_bitters",Highball_glass,link,12
235,Leningrad_Oblast,Federal_districts_of_Russia,link,12
236,Lil_Gnar,"Oakland,_California",link,12
237,other-empty,Look_at_Me_(XXXTentacion_song),external,2388
238,List_of_American_film_actresses,Melissa_Joan_Hart,link,12
239,Israel,Unitary_parliamentary_republic,link,2341
240,other-search,Mirror_(group),external,2341
241,The_Bourne_Identity_(2002_film),The_Bourne_Ultimatum_(film),link,2336
242,List_of_Circassians,Mohy_Quandour,link,12
243,other-empty,Tarte_Tatin,external,2313
244,List_of_Cuban_provinces_by_Human_Development_Index,Santiago_de_Cuba_Province,link,12
245,List_of_Date_A_Live_characters,Qlippoth,link,12
246,other-empty,Sony_Pictures_Motion_Picture_Group,external,2302
247,other-search,Magia_Record,external,2298
248,List_of_English-language_television_channels_in_India,BBC_News_(international_TV_channel),link,12
249,other-empty,The_Try_Guys,external,2282
250,List_of_Gujarati_films_of_2024,Manasi_Parekh,link,12
251,other-search,Robert_Lowell,external,2274
252,Australia,New_Zealand,link,2266
253,Argos,Argus_(Greek_myth),link,2229
254,other-search,Meri_Jung,external,2229
255,List_of_Miranda_Richardson_performances,Blackadder:_Back_&_Forth,link,12
256,Travis_Kalanick,Allisyn_Snyder,link,2215
